model,proj,T,d_in,d_out,fp16_us,fp16_roof_us,fp16_efficiency,fp16_bound,cuda_us,cuda_quant_roof_us,cuda_gemm_roof_us,cuda_roof_us,cuda_efficiency,cuda_gemm_bound,cuda_vs_fp16_actual,cuda_vs_fp16_roofline
Qwen3-1.7B,o_proj,1,2048,2048,11.204796,9.800187,0.874642,mem,7.454720,,2.610196,2.610196,0.350140,fused-mem,0.665315,0.266341
Qwen3-1.7B,o_proj,8,2048,2048,11.642876,9.867115,0.847481,mem,34.846721,0.048422,2.648441,2.696863,0.077392,mem,2.992965,0.273318
Qwen3-1.7B,o_proj,32,2048,2048,11.560965,10.096583,0.873334,mem,35.297279,0.193688,2.791858,2.985546,0.084583,mem,3.053143,0.295699
Qwen3-1.7B,o_proj,128,2048,2048,13.168640,11.014454,0.836415,mem,34.674881,0.774753,3.365528,4.140280,0.119403,mem,2.633141,0.375895
Qwen3-1.7B,o_proj,512,2048,2048,20.305920,30.586578,1.506289,compute,34.956801,3.099010,7.648960,10.747970,0.307464,compute,1.721508,0.351395
Qwen3-1.7B,o_proj,1024,2048,2048,48.816319,61.173156,1.253129,compute,50.524158,6.198021,15.297919,21.495940,0.425459,compute,1.034985,0.351395
Qwen3-1.7B,o_proj,2048,2048,2048,106.411514,122.346312,1.149747,compute,96.615362,12.396041,30.595838,42.991879,0.444980,compute,0.907941,0.351395
Qwen3-1.7B,gate_up_proj,1,2048,12288,58.672628,58.777218,1.001783,mem,25.497601,,15.637274,15.637274,0.613284,fused-mem,0.434574,0.266043
Qwen3-1.7B,gate_up_proj,8,2048,12288,56.934404,59.011466,1.036482,mem,34.785280,0.048422,15.842838,15.891261,0.456839,mem,0.610971,0.269291
Qwen3-1.7B,gate_up_proj,32,2048,12288,57.817287,59.814603,1.034545,mem,34.846721,0.193688,16.559925,16.753613,0.480780,mem,0.602704,0.280092
Qwen3-1.7B,gate_up_proj,128,2048,12288,65.454082,63.027152,0.962922,mem,42.779522,0.774753,19.428273,20.203025,0.472259,mem,0.653581,0.320545
Qwen3-1.7B,gate_up_proj,512,2048,12288,150.292807,183.519469,1.221080,compute,123.575678,3.099010,45.893758,48.992768,0.396460,compute,0.822233,0.266962
Qwen3-1.7B,gate_up_proj,1024,2048,12288,299.961586,367.038937,1.223620,compute,234.711037,6.198021,91.787515,97.985536,0.417473,compute,0.782470,0.266962
Qwen3-1.7B,gate_up_proj,2048,2048,12288,631.633625,734.077874,1.162189,compute,466.964493,12.396041,183.575030,195.971071,0.419670,compute,0.739296,0.266962
Qwen3-1.7B,down_proj,1,6144,2048,31.150074,29.390999,0.943529,mem,20.695040,,7.821027,7.821027,0.377918,fused-mem,0.664366,0.266103
Qwen3-1.7B,down_proj,8,6144,2048,30.771198,29.524855,0.959496,mem,34.682879,0.145229,7.868833,8.014062,0.231067,mem,1.127122,0.271434
Qwen3-1.7B,down_proj,32,6144,2048,30.904322,29.983791,0.970214,mem,39.720960,0.580915,8.069617,8.650532,0.217783,mem,1.285288,0.288507
Qwen3-1.7B,down_proj,128,6144,2048,35.205755,31.819533,0.903816,mem,43.960319,2.323660,8.872754,11.196415,0.254694,mem,1.248669,0.351872
Qwen3-1.7B,down_proj,512,6144,2048,77.063684,91.759734,1.190700,compute,83.555517,9.294641,22.946879,32.241519,0.385869,compute,1.084240,0.351369
Qwen3-1.7B,down_proj,1024,6144,2048,155.729914,183.519469,1.178447,compute,173.352966,18.589281,45.893758,64.483039,0.371975,compute,1.113164,0.351369
Qwen3-1.7B,down_proj,2048,6144,2048,302.075539,367.038937,1.215057,compute,335.858879,37.178562,91.787515,128.966077,0.383989,compute,1.111837,0.351369
Qwen3-4B,q_proj,1,2560,4096,25.444803,24.492101,0.962558,mem,13.250560,,6.517124,6.517124,0.491838,fused-mem,0.520757,0.266091
Qwen3-4B,q_proj,8,2560,4096,26.777601,24.600859,0.918710,mem,34.744320,0.060523,6.590028,6.650551,0.191414,mem,1.297514,0.270338
Qwen3-4B,q_proj,32,2560,4096,26.871042,24.973744,0.929392,mem,34.775040,0.242092,6.855350,7.097442,0.204096,mem,1.294146,0.284196
Qwen3-4B,q_proj,128,2560,4096,27.830400,26.465285,0.950949,mem,35.849280,0.968366,7.916639,8.885005,0.247843,mem,1.288134,0.335723
Qwen3-4B,q_proj,512,2560,4096,73.134079,76.466445,1.045565,compute,60.220799,3.873464,19.122399,22.995863,0.381859,compute,0.823430,0.300731
Qwen3-4B,q_proj,1024,2560,4096,143.309441,152.932890,1.067152,compute,111.104002,7.746928,38.244798,45.991726,0.413952,compute,0.775273,0.300731
Qwen3-4B,q_proj,2048,2560,4096,259.010572,305.865781,1.180901,compute,211.097279,15.493856,76.489596,91.983452,0.435740,compute,0.815014,0.300731
Qwen3-4B,kv_proj,1,2560,2048,13.772793,12.249038,0.889365,mem,10.096641,,3.261550,3.261550,0.323033,fused-mem,0.733086,0.266270
Qwen3-4B,kv_proj,8,2560,2048,14.858246,12.324332,0.829461,mem,34.874880,0.060523,3.300990,3.361513,0.096388,mem,2.347173,0.272754
Qwen3-4B,kv_proj,32,2560,2048,15.134716,12.582484,0.831366,mem,35.090239,0.242092,3.451578,3.693669,0.105262,mem,2.318526,0.293556
Qwen3-4B,kv_proj,128,2560,2048,15.615673,13.615089,0.871886,mem,34.833920,0.968366,4.053931,5.022297,0.144178,mem,2.230702,0.368877
Qwen3-4B,kv_proj,512,2560,2048,26.708479,38.233223,1.431501,compute,43.233280,3.873464,9.561199,13.434664,0.310748,compute,1.618710,0.351387
Qwen3-4B,kv_proj,1024,2560,2048,68.832970,76.466445,1.110899,compute,61.358080,7.746928,19.122399,26.869327,0.437910,compute,0.891405,0.351387
Qwen3-4B,kv_proj,2048,2560,2048,142.548790,152.932890,1.072846,compute,117.451525,15.493856,38.244798,53.738654,0.457539,compute,0.823939,0.351387
Qwen3-4B,o_proj,1,4096,2560,26.357756,24.492101,0.929218,mem,15.992000,,6.517124,6.517124,0.407524,fused-mem,0.606728,0.266091
Qwen3-4B,o_proj,8,4096,2560,26.325121,24.600859,0.934501,mem,35.307519,0.096825,6.568515,6.665341,0.188780,mem,1.341210,0.270939
Qwen3-4B,o_proj,32,4096,2560,26.223040,24.973744,0.952359,mem,35.061760,0.387302,6.769300,7.156601,0.204114,mem,1.337059,0.286565
Qwen3-4B,o_proj,128,4096,2560,29.696007,26.465285,0.891207,mem,42.536001,1.549206,7.572437,9.121643,0.214445,mem,1.432381,0.344664
Qwen3-4B,o_proj,512,4096,2560,81.415348,76.466445,0.939214,compute,84.029436,6.196825,19.122399,25.319224,0.301314,compute,1.032108,0.331115
Qwen3-4B,o_proj,1024,4096,2560,140.749445,152.932890,1.086561,compute,147.015362,12.393651,38.244798,50.638449,0.344443,compute,1.044518,0.331115
Qwen3-4B,o_proj,2048,4096,2560,272.681293,305.865781,1.121697,compute,234.136009,24.787302,76.489596,101.276897,0.432556,compute,0.858643,0.331115
Qwen3-4B,gate_up_proj,1,2560,19456,110.059528,116.315070,1.056838,mem,49.354558,,30.933931,30.933931,0.626769,fused-mem,0.448435,0.265949
Qwen3-4B,gate_up_proj,8,2560,19456,116.788797,116.674809,0.999024,mem,35.796161,0.060523,31.257815,31.318338,0.874908,mem,0.306503,0.268424
Qwen3-4B,gate_up_proj,32,2560,19456,118.446093,117.908198,0.995459,mem,40.345602,0.242092,32.383641,32.625733,0.808656,mem,0.340624,0.276705
Qwen3-4B,gate_up_proj,128,2560,19456,130.539522,122.841755,0.941031,mem,92.692480,0.968366,36.886947,37.855313,0.408397,mem,0.710072,0.308163
Qwen3-4B,gate_up_proj,512,2560,19456,338.634233,363.215615,1.072590,compute,232.313595,3.873464,90.831395,94.704859,0.407660,compute,0.686031,0.260740
Qwen3-4B,gate_up_proj,1024,2560,19456,654.899235,726.431230,1.109226,compute,457.461777,7.746928,181.662790,189.409718,0.414045,compute,0.698522,0.260740
Qwen3-4B,gate_up_proj,2048,2560,19456,1289.164839,1452.862459,1.126980,compute,916.981735,15.493856,363.325580,378.819436,0.413116,compute,0.711299,0.260740
Qwen3-4B,down_proj,1,9728,2560,58.918724,58.160523,0.987131,mem,38.082559,,15.469953,15.469953,0.406221,fused-mem,0.646357,0.265987
Qwen3-4B,down_proj,8,9728,2560,59.589443,58.361307,0.979390,mem,48.097281,0.229935,15.534491,15.764426,0.327761,mem,0.807144,0.270118
Qwen3-4B,down_proj,32,9728,2560,60.300808,59.049711,0.979252,mem,57.354240,0.919739,15.814155,16.733894,0.291764,mem,0.951136,0.283387
Qwen3-4B,down_proj,128,9728,2560,67.930231,61.803324,0.909806,mem,79.933438,3.678954,16.932810,20.611765,0.257862,mem,1.176699,0.333506
Qwen3-4B,down_proj,512,9728,2560,164.850550,181.607807,1.101651,compute,223.692799,14.715817,45.415698,60.131515,0.268813,compute,1.356943,0.331106
Qwen3-4B,down_proj,1024,9728,2560,307.998724,363.215615,1.179276,compute,363.100166,29.431634,90.831395,120.263029,0.331212,compute,1.178902,0.331106
Qwen3-4B,down_proj,2048,9728,2560,662.394867,726.431230,1.096674,compute,727.902374,58.863268,181.662790,240.526058,0.330437,compute,1.098895,0.331106
Qwen3-8B,q_proj,1,4096,4096,39.976969,39.181625,0.980105,mem,18.688000,,10.421662,10.421662,0.557666,fused-mem,0.467469,0.265983
Qwen3-8B,q_proj,8,4096,4096,40.562563,39.315481,0.969255,mem,35.134399,0.096825,10.498151,10.594977,0.301556,mem,0.866178,0.269486
Qwen3-8B,q_proj,32,4096,4096,40.533123,39.774416,0.981282,mem,34.939201,0.387302,10.784986,11.172288,0.319764,mem,0.861991,0.280891
Qwen3-8B,q_proj,128,4096,4096,42.478399,41.610159,0.979560,mem,47.319040,1.549206,11.932325,13.481531,0.284907,mem,1.113955,0.323996
Qwen3-8B,q_proj,512,4096,4096,118.721933,122.346312,1.030528,compute,87.091198,6.196825,30.595838,36.792664,0.422461,compute,0.733573,0.300726
Qwen3-8B,q_proj,1024,4096,4096,216.709442,244.692625,1.129128,compute,164.454403,12.393651,61.191677,73.585327,0.447451,compute,0.758871,0.300726
Qwen3-8B,q_proj,2048,4096,4096,434.135036,489.385250,1.127265,compute,319.426556,24.787302,122.383353,147.170655,0.460734,compute,0.735777,0.300726
Qwen3-8B,kv_proj,1,4096,2048,20.777283,19.595593,0.943126,mem,13.721600,,5.215612,5.215612,0.380102,fused-mem,0.660414,0.266162
Qwen3-8B,kv_proj,8,4096,2048,21.411839,19.695985,0.919864,mem,35.256319,0.096825,5.258637,5.355462,0.151901,mem,1.646581,0.271906
Qwen3-8B,kv_proj,32,4096,2048,21.213760,20.040187,0.944679,mem,41.369600,0.387302,5.430738,5.818039,0.140636,mem,1.950130,0.290319
Qwen3-8B,kv_proj,128,4096,2048,22.487040,21.416993,0.952415,mem,35.430400,1.549206,6.119141,7.668347,0.216434,mem,1.575592,0.358050
Qwen3-8B,kv_proj,512,4096,2048,49.359360,61.173156,1.239343,compute,61.286402,6.196825,15.297919,21.494745,0.350726,compute,1.241637,0.351375
Qwen3-8B,kv_proj,1024,4096,2048,111.247368,122.346312,1.099768,compute,91.422720,12.393651,30.595838,42.989489,0.470228,compute,0.821797,0.351375
Qwen3-8B,kv_proj,2048,4096,2048,226.507215,244.692625,1.080286,compute,176.130886,24.787302,61.191677,85.978978,0.488154,compute,0.777595,0.351375
Qwen3-8B,o_proj,1,4096,4096,39.976959,39.181625,0.980105,mem,18.697280,,10.421662,10.421662,0.557389,fused-mem,0.467701,0.265983
Qwen3-8B,o_proj,8,4096,4096,40.570889,39.315481,0.969056,mem,35.225599,0.096825,10.498151,10.594977,0.300775,mem,0.868248,0.269486
Qwen3-8B,o_proj,32,4096,4096,40.630398,39.774416,0.978932,mem,34.999361,0.387302,10.784986,11.172288,0.319214,mem,0.861408,0.280891
Qwen3-8B,o_proj,128,4096,4096,42.373123,41.610159,0.981994,mem,47.400961,1.549206,11.932325,13.481531,0.284415,mem,1.118656,0.323996
Qwen3-8B,o_proj,512,4096,4096,118.537283,122.346312,1.032134,compute,87.193604,6.196825,30.595838,36.792664,0.421965,compute,0.735580,0.300726
Qwen3-8B,o_proj,1024,4096,4096,211.784315,244.692625,1.155386,compute,164.321289,12.393651,61.191677,73.585327,0.447814,compute,0.775890,0.300726
Qwen3-8B,o_proj,2048,4096,4096,422.359047,489.385250,1.158695,compute,324.034576,24.787302,122.383353,147.170655,0.454182,compute,0.767202,0.300726
Qwen3-8B,gate_up_proj,1,4096,24576,216.330223,235.041942,1.086496,mem,95.836163,,62.482166,62.482166,0.651969,fused-mem,0.443009,0.265834
Qwen3-8B,gate_up_proj,8,4096,24576,242.688007,235.510439,0.970425,mem,62.014079,0.096825,62.893296,62.990121,1.015739,mem,0.255530,0.267462
Qwen3-8B,gate_up_proj,32,4096,24576,239.269428,237.116713,0.991003,mem,68.311362,0.387302,64.327470,64.714771,0.947350,mem,0.285500,0.272924
Qwen3-8B,gate_up_proj,128,4096,24576,274.019184,243.541811,0.888777,mem,149.524479,1.549206,70.064164,71.613371,0.478941,mem,0.545672,0.294050
Qwen3-8B,gate_up_proj,512,4096,24576,720.692816,734.077874,1.018572,compute,462.620468,6.196825,183.575030,189.771855,0.410211,compute,0.641911,0.258517
Qwen3-8B,gate_up_proj,1024,4096,24576,1340.805111,1468.155749,1.094981,compute,904.756775,12.393651,367.150060,379.543711,0.419498,compute,0.674786,0.258517
Qwen3-8B,gate_up_proj,2048,4096,24576,2560.767879,2936.311497,1.146653,compute,1761.195526,24.787302,734.300120,759.087422,0.431007,compute,0.687761,0.258517
